category,authority,year_h,identifier,url,status
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-25,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/25.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-26,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/26.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-27,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/27.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-28,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/28.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-29,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/29.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1434,1434-vol-30,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1434/30.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-01,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/1.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-02,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/2.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-03,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/3.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-04,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/4.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-05,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/5.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-06,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/6.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-07,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/7.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-08,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/8.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-09,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/9.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-10,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/10.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-11,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/11.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-12,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/12.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-13,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/13.pdf,PDF رسمي مباشر
حكم/مجموعة أحكام,وزارة العدل,1435,1435-vol-14,https://www.moj.gov.sa/ar-sa/ministry/versions/Documents/backupFiles3/AhkamGroup_1435/14.pdf,PDF رسمي مباشر
مدونة قضائية,ديوان المظالم,1427,Blog1427,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/Blog1427/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1429,1429,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1429/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1431-1432,1431-1432,https://www.bog.gov.sa/MediaCenter/News/Pages/news-348.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1433,1433,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1433/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1434,1434,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1434/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1435,1435,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1435/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1436,1436,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1436/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1437,1437,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1437/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1438-1439,1438-1439,https://www.bog.gov.sa/MediaCenter/news/Pages/news-785.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1439,1439,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1439/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1440,1440,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1440/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1441,1441,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1441/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1442,1442,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1442/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1443,1443,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1443/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مدونة قضائية,ديوان المظالم,1444,1444,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/1444/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
سوابق قضائية,ديوان المظالم,1402-1436,A1402-1436,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/A1402-1436/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مبادئ وأحكام تاريخية,ديوان المظالم,قبل 1402,AA1402-1426,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/AA1402-1426/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
أحكام ملكية فكرية,ديوان المظالم,متعدد,intellectual-property,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/intellectual-property/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
مبادئ المحكمة الإدارية العليا,ديوان المظالم,1439-1441,principles-1439-1441,https://www.bog.gov.sa/knowledge-center/PrinciplesBlogs/1439-1440-1441/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
فهرس المدونات,ديوان المظالم,حتى 1444,all,https://www.bog.gov.sa/knowledge-center/JudicialBlogs/Pages/default.aspx,مصدر رسمي/فهرس مجموعة
فهرس تعاميم,وزارة العدل,متعدد,tameem-root,https://portaleservices.moj.gov.sa/TameemPortal/,بوابة رسمية
